age;sex;job;housing;saving;checking;creditamount;duration;purpose;risk
67;male;2;own;unknown;little;1169;6;radio/TV;0
22;female;2;own;little;moderate;5951;48;radio/TV;0
49;male;1;own;little;unknown;2096;12;education;0
45;male;2;free;little;little;7882;42;furniture/equipment;0
53;male;2;free;little;little;4870;24;car;0
35;male;1;free;unknown;unknown;9055;36;education;0
53;male;2;own;quite rich;unknown;2835;24;furniture/equipment;0
35;male;3;rent;little;moderate;6948;36;car;0
61;male;1;own;rich;unknown;3059;12;radio/TV;0
28;male;3;own;little;moderate;5234;30;car;0
25;female;2;rent;little;moderate;1295;12;car;0
24;female;2;rent;little;little;4308;48;business;0
22;female;2;own;little;moderate;1567;12;radio/TV;0
60;male;1;own;little;little;1199;24;car;0
28;female;2;rent;little;little;1403;15;car;0
32;female;1;own;moderate;little;1282;24;radio/TV;0
53;male;2;own;unknown;unknown;2424;24;radio/TV;0
25;male;2;own;unknown;little;8072;30;business;0
44;female;3;free;little;moderate;12579;24;car;0
31;male;2;own;quite rich;unknown;3430;24;radio/TV;0
48;male;2;own;little;unknown;2134;9;car;0
44;male;2;rent;quite rich;little;2647;6;radio/TV;0
48;male;1;rent;little;little;2241;10;car;0
44;male;2;own;moderate;moderate;1804;12;car;0
26;male;2;own;unknown;unknown;2069;10;furniture/equipment;0
36;male;1;own;little;little;1374;6;furniture/equipment;0
39;male;1;own;little;unknown;426;6;radio/TV;0
42;female;2;rent;rich;rich;409;12;radio/TV;0
34;male;2;own;little;moderate;2415;7;radio/TV;0
63;male;2;own;little;little;6836;60;business;0
36;male;2;own;rich;moderate;1913;18;business;0
27;male;2;own;little;little;4020;24;furniture/equipment;0
30;male;2;own;moderate;moderate;5866;18;car;0
57;male;1;rent;unknown;unknown;1264;12;business;0
33;female;3;own;little;rich;1474;12;furniture/equipment;0
25;male;1;own;little;moderate;4746;45;radio/TV;0
31;male;2;free;little;unknown;6110;48;education;0
37;male;2;own;little;rich;2100;18;radio/TV;0
37;male;2;own;little;rich;1225;10;domestic appliances;0
24;male;2;own;little;moderate;458;9;radio/TV;0
30;male;3;own;quite rich;unknown;2333;30;radio/TV;0
26;male;2;own;quite rich;moderate;1158;12;radio/TV;0
44;male;1;own;little;moderate;6204;18;repairs;0
24;male;2;rent;moderate;little;6187;30;car;0
58;female;1;free;little;little;6143;48;car;0
35;female;3;own;little;unknown;1393;11;car;0
39;male;2;own;quite rich;unknown;2299;36;radio/TV;0
23;female;0;rent;quite rich;little;1352;6;car;0
39;male;1;own;little;unknown;7228;11;car;0
28;female;2;own;moderate;unknown;2073;12;radio/TV;0
29;male;1;own;unknown;moderate;2333;24;furniture/equipment;0
30;male;3;own;little;moderate;5965;27;car;0
25;male;2;own;little;unknown;1262;12;radio/TV;0
31;male;2;own;unknown;unknown;3378;18;car;0
57;male;2;free;little;moderate;2225;36;car;0
26;male;1;own;unknown;unknown;783;6;car;0
52;male;3;own;unknown;moderate;6468;12;radio/TV;0
31;female;2;own;little;unknown;9566;36;radio/TV;0
23;female;3;own;little;rich;1961;18;car;0
23;female;1;rent;little;little;6229;36;furniture/equipment;0
27;male;2;own;little;moderate;1391;9;business;0
50;male;2;own;unknown;moderate;1537;15;radio/TV;0
61;male;3;free;little;moderate;1953;36;business;0
25;male;2;own;little;moderate;14421;48;business;0
26;female;2;own;little;unknown;3181;24;radio/TV;0
48;male;2;own;unknown;unknown;5190;27;repairs;0
29;female;2;own;little;unknown;2171;12;radio/TV;0
22;male;2;own;rich;moderate;1007;12;car;0
37;male;2;free;little;unknown;1819;36;education;0
25;female;2;own;unknown;unknown;2394;36;radio/TV;0
30;female;2;own;little;unknown;8133;36;car;0
46;male;1;rent;unknown;unknown;730;7;radio/TV;0
51;male;3;free;little;little;1164;8;vacation/others;0
41;female;1;own;little;moderate;5954;42;business;0
40;male;3;own;unknown;little;1977;36;education;0
66;male;3;free;little;little;1526;12;car;0
34;male;2;own;little;little;3965;42;radio/TV;0
51;male;2;own;little;moderate;4771;11;radio/TV;0
39;male;1;own;unknown;unknown;9436;54;car;0
22;male;2;own;little;moderate;3832;30;furniture/equipment;0
44;female;2;own;unknown;unknown;5943;24;radio/TV;0
47;male;2;own;quite rich;unknown;1213;15;radio/TV;0
24;female;1;rent;moderate;unknown;1568;18;business;0
58;female;1;own;little;little;1755;24;vacation/others;0
52;male;1;own;little;little;2315;10;radio/TV;0
29;female;3;own;little;unknown;1412;12;business;0
27;female;2;own;little;moderate;1295;18;furniture/equipment;0
47;male;2;free;moderate;moderate;12612;36;education;0
30;male;3;own;moderate;little;2249;18;car;0
28;male;2;own;little;little;1108;12;repairs;0
56;male;2;own;little;unknown;618;12;radio/TV;0
54;male;2;own;little;little;1409;12;car;0
33;female;1;own;unknown;unknown;797;12;radio/TV;0
20;male;2;rent;unknown;rich;3617;24;furniture/equipment;0
54;male;2;own;rich;moderate;1318;12;car;0
58;male;2;rent;little;moderate;15945;54;business;0
61;female;2;own;unknown;unknown;2012;12;education;0
34;male;2;own;moderate;moderate;2622;18;business;0
36;male;2;own;little;moderate;2337;36;radio/TV;0
36;male;3;rent;unknown;moderate;7057;20;car;0
41;male;1;rent;moderate;unknown;1469;24;car;0
24;male;2;rent;little;moderate;2323;36;radio/TV;0
24;female;2;own;little;unknown;932;6;radio/TV;0
35;male;2;rent;little;moderate;1919;9;furniture/equipment;0
26;male;2;rent;unknown;unknown;2445;12;car;0
39;male;3;own;little;moderate;11938;24;vacation/others;0
39;male;3;own;little;unknown;6458;18;car;0
32;male;2;own;little;moderate;6078;12;car;0
30;female;2;own;unknown;little;7721;24;furniture/equipment;0
35;male;2;own;quite rich;moderate;1410;14;business;0
31;male;2;own;moderate;moderate;1449;6;business;0
23;female;2;rent;little;rich;392;15;education;0
28;male;1;rent;little;moderate;6260;18;car;0
25;female;2;own;little;unknown;7855;36;car;0
35;male;2;own;quite rich;little;1680;12;radio/TV;0
47;male;2;own;unknown;unknown;3578;48;radio/TV;0
30;female;3;own;unknown;little;7174;42;radio/TV;0
27;female;2;rent;unknown;little;2132;10;furniture/equipment;0
23;female;2;own;quite rich;little;4281;33;furniture/equipment;0
36;male;3;own;quite rich;moderate;2366;12;car;0
25;female;2;own;little;little;1835;21;radio/TV;0
41;female;3;rent;little;unknown;3868;24;car;0
24;male;1;rent;little;unknown;1768;12;furniture/equipment;0
63;male;2;free;little;rich;781;10;car;0
27;female;2;rent;unknown;moderate;1924;18;furniture/equipment;0
30;male;2;own;little;little;2121;12;car;0
40;male;1;own;little;little;701;12;radio/TV;0
30;male;2;own;little;moderate;639;12;repairs;0
34;male;3;own;little;moderate;1860;12;car;0
29;female;2;own;little;little;3499;12;car;0
24;female;2;own;unknown;moderate;8487;48;car;0
29;male;2;own;little;little;6887;36;education;0
27;male;1;own;little;unknown;2708;15;furniture/equipment;0
47;male;2;free;little;unknown;1984;18;furniture/equipment;0
21;female;2;own;moderate;unknown;10144;60;radio/TV;0
38;female;2;own;unknown;unknown;1240;12;radio/TV;0
27;male;2;own;rich;unknown;8613;27;car;0
66;male;1;own;quite rich;moderate;766;12;radio/TV;0
35;male;2;own;unknown;moderate;2728;15;radio/TV;0
44;female;1;rent;little;rich;1881;12;radio/TV;0
27;male;0;own;rich;rich;709;6;car;0
30;female;3;own;little;moderate;4795;36;radio/TV;0
27;male;3;own;little;little;3416;27;radio/TV;0
22;male;2;own;little;little;2462;18;furniture/equipment;0
23;female;2;own;little;unknown;2288;21;furniture/equipment;0
30;male;2;own;moderate;moderate;3566;48;business;0
39;female;2;own;little;little;860;6;car;0
51;female;2;own;moderate;unknown;682;12;car;0
28;male;2;own;little;little;5371;36;furniture/equipment;0
46;male;2;own;rich;unknown;1582;18;radio/TV;0
42;male;2;free;moderate;unknown;1346;6;radio/TV;0
38;male;2;own;little;unknown;1924;10;radio/TV;0
24;male;2;own;little;rich;5848;36;radio/TV;0
29;female;2;rent;rich;moderate;7758;24;car;0
36;male;3;rent;moderate;moderate;6967;24;business;0
20;female;2;rent;little;little;1282;12;furniture/equipment;0
48;male;2;own;moderate;little;1288;9;repairs;0
45;male;1;own;little;little;339;12;education;0
38;male;2;own;moderate;moderate;3512;24;car;0
34;male;1;own;unknown;unknown;1898;6;radio/TV;0
36;male;2;own;moderate;unknown;2872;24;radio/TV;0
30;female;2;own;little;unknown;1055;18;car;0
36;male;2;own;quite rich;unknown;1262;15;domestic appliances;0
70;male;3;free;little;moderate;7308;10;car;0
36;male;2;own;quite rich;unknown;909;36;car;0
32;male;2;own;quite rich;unknown;2978;6;furniture/equipment;0
33;female;2;own;little;little;1131;18;furniture/equipment;0
20;female;2;own;rich;moderate;1577;11;furniture/equipment;0
25;female;2;rent;little;unknown;3972;24;furniture/equipment;0
31;male;2;own;little;moderate;1935;24;business;0
33;male;2;rent;little;little;950;15;car;0
26;female;2;own;little;unknown;763;12;furniture/equipment;0
34;female;3;own;little;moderate;2064;24;furniture/equipment;0
33;male;2;own;little;moderate;1414;8;radio/TV;0
26;male;2;own;little;little;3414;21;education;0
53;female;3;own;unknown;unknown;7485;30;car;0
42;male;2;own;little;little;2577;12;furniture/equipment;0
52;male;2;own;quite rich;little;338;6;radio/TV;0
31;male;3;rent;little;unknown;1963;12;radio/TV;0
65;male;2;own;little;little;571;21;car;0
28;male;2;own;little;unknown;9572;36;business;0
30;male;3;own;little;moderate;4455;36;business;0
40;male;1;own;unknown;little;1647;21;car;0
50;male;2;own;rich;unknown;3777;24;furniture/equipment;0
36;male;2;own;little;moderate;884;18;car;0
31;male;2;own;little;unknown;1360;15;radio/TV;0
74;female;3;free;little;moderate;5129;9;car;0
68;male;0;free;little;moderate;1175;16;car;0
20;male;2;own;moderate;little;674;12;radio/TV;0
33;female;2;own;little;moderate;3244;18;furniture/equipment;0
54;male;3;own;rich;unknown;4591;24;business;0
34;male;1;free;moderate;moderate;3844;48;business;0
36;male;2;own;little;moderate;3915;27;business;0
29;male;2;rent;little;unknown;2108;6;radio/TV;0
21;male;2;rent;moderate;moderate;3031;45;radio/TV;0
34;female;3;own;little;moderate;1501;9;education;0
28;female;2;own;little;unknown;1382;6;radio/TV;0
27;female;2;rent;moderate;moderate;951;12;furniture/equipment;0
36;male;2;free;unknown;moderate;2760;24;car;0
40;male;3;own;little;moderate;4297;18;furniture/equipment;0
52;male;2;own;quite rich;unknown;936;9;education;0
27;male;1;own;little;little;1168;12;car;0
26;male;2;own;little;unknown;5117;27;business;0
21;male;2;rent;little;little;902;12;education;0
38;male;1;own;little;unknown;1495;12;car;0
38;male;3;free;little;little;10623;30;car;0
43;male;2;own;little;unknown;1935;12;furniture/equipment;0
26;male;2;own;little;moderate;1424;12;domestic appliances;0
21;male;1;own;little;little;6568;24;business;0
55;male;2;own;rich;unknown;1413;12;car;0
33;male;2;own;unknown;unknown;3074;9;radio/TV;0
45;female;1;own;unknown;unknown;3835;36;radio/TV;0
50;male;2;own;little;little;5293;27;business;0
66;male;3;own;little;rich;1908;30;business;0
51;male;2;own;unknown;unknown;3342;36;radio/TV;0
39;female;1;own;unknown;moderate;932;6;education;0
31;male;2;own;little;little;3104;18;business;0
23;male;2;own;little;rich;3913;36;radio/TV;0
24;male;1;rent;little;little;3021;24;furniture/equipment;0
64;female;2;own;little;unknown;1364;10;car;0
26;male;1;own;little;moderate;625;12;radio/TV;0
23;female;2;rent;unknown;little;1200;12;education;0
30;male;2;own;little;unknown;707;12;radio/TV;0
32;male;2;own;unknown;unknown;2978;24;business;0
30;male;2;own;little;unknown;4657;15;car;0
27;male;2;own;little;unknown;2613;36;repairs;0
27;male;2;own;rich;moderate;10961;48;radio/TV;0
53;male;3;free;little;little;7865;12;furniture/equipment;0
22;male;2;own;little;unknown;1478;9;radio/TV;0
22;male;2;free;little;little;3149;24;furniture/equipment;0
26;male;2;own;little;rich;4210;36;radio/TV;0
51;male;1;free;quite rich;unknown;2507;9;car;0
35;male;2;own;moderate;unknown;2141;12;radio/TV;0
25;male;1;own;little;moderate;866;18;radio/TV;0
42;male;1;own;little;unknown;1544;4;radio/TV;0
30;male;3;own;little;little;1823;24;radio/TV;0
23;male;0;own;unknown;moderate;14555;6;car;0
61;male;1;rent;moderate;moderate;2767;21;business;0
35;female;2;own;little;unknown;1291;12;radio/TV;0
39;male;2;own;little;little;2522;30;radio/TV;0
29;female;2;own;unknown;little;915;24;car;0
51;male;2;own;little;unknown;1595;6;radio/TV;0
24;male;2;free;little;little;4605;48;car;0
27;female;2;own;little;unknown;1185;12;business;0
35;female;1;own;quite rich;unknown;3447;12;education;0
25;male;2;own;little;unknown;1258;24;business;0
52;male;2;own;little;unknown;717;12;radio/TV;0
35;male;2;rent;moderate;unknown;1204;6;car;0
26;male;2;own;little;rich;1925;24;furniture/equipment;0
22;female;2;rent;little;unknown;433;18;radio/TV;0
39;female;1;own;rich;little;666;6;car;0
46;female;1;own;little;rich;2251;12;furniture/equipment;0
24;female;2;own;little;moderate;2150;30;car;0
35;male;2;own;moderate;unknown;4151;24;furniture/equipment;0
24;male;2;own;unknown;moderate;2030;9;furniture/equipment;0
27;male;1;own;unknown;moderate;7418;60;radio/TV;0
35;male;1;own;little;unknown;2684;24;radio/TV;0
29;male;2;free;little;little;2149;12;radio/TV;0
23;female;2;own;moderate;unknown;3812;15;car;0
57;female;1;own;moderate;unknown;1154;11;radio/TV;0
27;male;2;own;little;little;1657;12;furniture/equipment;0
55;female;2;own;little;little;1603;24;radio/TV;0
36;male;3;free;little;little;5302;18;car;0
57;female;1;free;little;unknown;2748;12;education;0
32;male;1;own;little;unknown;1231;10;car;0
37;male;2;own;little;moderate;802;15;radio/TV;0
36;male;2;own;unknown;unknown;6304;36;business;0
38;female;2;own;little;unknown;1533;24;radio/TV;0
45;male;3;own;little;little;8978;14;car;0
25;male;2;own;unknown;unknown;999;24;radio/TV;0
32;male;2;own;unknown;unknown;2662;18;car;0
37;female;2;rent;quite rich;unknown;1402;12;furniture/equipment;0
36;male;3;free;unknown;moderate;12169;48;car;0
28;male;2;own;little;moderate;3060;48;radio/TV;0
34;male;1;own;little;little;11998;30;repairs;0
32;male;2;own;little;unknown;2697;9;radio/TV;0
26;female;2;own;little;unknown;2404;18;radio/TV;0
49;male;1;own;unknown;little;1262;12;furniture/equipment;0
32;female;2;own;little;unknown;4611;6;furniture/equipment;0
29;male;3;rent;moderate;unknown;1901;24;radio/TV;0
23;male;2;rent;rich;unknown;3368;15;car;0
50;male;2;own;little;unknown;1574;12;furniture/equipment;0
49;male;1;own;unknown;rich;1445;18;radio/TV;0
63;male;2;own;unknown;unknown;1520;15;furniture/equipment;0
37;male;2;own;moderate;moderate;3878;24;car;0
35;female;1;own;little;little;10722;47;car;0
26;male;2;own;little;little;4788;48;car;0
31;male;3;free;moderate;moderate;7582;48;vacation/others;0
49;female;2;own;little;moderate;1092;12;radio/TV;0
48;male;2;own;little;little;1024;24;radio/TV;0
26;male;2;own;little;unknown;1076;12;business;0
28;male;3;rent;little;moderate;9398;36;car;0
44;female;3;free;little;little;6419;24;car;0
56;male;2;free;little;rich;4796;42;car;0
46;male;3;own;unknown;unknown;7629;48;business;0
26;female;2;own;little;moderate;9960;48;furniture/equipment;0
20;female;2;rent;unknown;unknown;4675;12;car;0
45;male;1;own;unknown;unknown;1287;10;car;0
43;male;2;own;little;unknown;2515;18;furniture/equipment;0
32;male;2;own;rich;moderate;2745;21;furniture/equipment;0
54;female;0;own;little;unknown;672;6;car;0
42;female;2;own;little;moderate;3804;36;radio/TV;0
37;male;1;own;unknown;rich;1344;24;car;0
49;male;2;own;little;little;1038;10;car;0
44;male;2;free;quite rich;unknown;10127;48;car;0
33;male;2;own;rich;unknown;1543;6;furniture/equipment;0
24;female;1;rent;unknown;unknown;4811;30;car;0
33;male;1;own;moderate;little;727;12;radio/TV;0
24;female;2;own;little;moderate;1237;8;furniture/equipment;0
22;male;1;rent;little;moderate;276;9;car;0
40;male;0;free;unknown;moderate;5381;48;vacation/others;0
25;male;2;own;moderate;unknown;5511;24;furniture/equipment;0
26;female;2;own;little;rich;3749;24;furniture/equipment;0
25;male;1;own;little;moderate;685;12;car;0
29;male;1;own;unknown;rich;1494;4;car;0
31;male;2;own;little;little;2746;36;furniture/equipment;0
38;male;1;own;little;little;708;12;furniture/equipment;0
48;female;1;own;unknown;moderate;4351;24;furniture/equipment;0
32;male;2;own;little;unknown;701;12;education;0
27;female;1;own;little;little;3643;15;furniture/equipment;0
28;male;3;own;little;moderate;4249;30;car;0
32;male;2;own;little;little;1938;24;radio/TV;0
34;male;3;free;little;little;2910;24;car;0
28;male;2;own;rich;little;2659;18;furniture/equipment;0
36;female;2;own;little;unknown;1028;18;car;0
39;male;1;own;little;little;3398;8;car;0
49;male;2;rent;unknown;unknown;5801;12;furniture/equipment;0
34;female;2;own;rich;unknown;1525;24;car;0
31;male;2;own;little;rich;4473;36;radio/TV;0
28;male;2;own;little;moderate;1068;6;radio/TV;0
75;male;3;free;little;little;6615;24;car;0
30;female;2;own;moderate;unknown;1864;18;education;0
24;female;3;own;moderate;moderate;7408;60;car;0
24;female;1;rent;moderate;unknown;11590;48;car;0
23;male;2;rent;little;little;4110;24;furniture/equipment;0
44;male;3;rent;little;little;3384;6;furniture/equipment;0
23;female;1;own;little;moderate;2101;13;radio/TV;0
24;female;2;rent;unknown;little;1275;15;domestic appliances;0
28;male;2;own;little;little;4169;24;furniture/equipment;0
31;male;1;own;little;moderate;1521;10;furniture/equipment;0
24;female;2;free;little;moderate;5743;24;education;0
26;female;1;rent;little;little;3599;21;furniture/equipment;0
25;male;2;rent;quite rich;moderate;3213;18;radio/TV;0
33;male;3;own;little;moderate;4439;18;business;0
37;male;1;own;little;rich;3949;10;car;0
43;female;1;own;little;unknown;1459;15;radio/TV;0
23;male;2;own;little;moderate;882;13;radio/TV;0
23;female;0;rent;quite rich;moderate;3758;24;radio/TV;0
34;male;1;own;moderate;unknown;1743;6;business;0
32;male;2;free;rich;moderate;1136;9;education;0
23;female;2;rent;little;unknown;1236;9;domestic appliances;0
29;female;2;own;little;moderate;959;9;furniture/equipment;0
38;male;3;own;unknown;unknown;3229;18;car;0
28;male;2;rent;little;little;6199;12;radio/TV;0
46;male;2;free;quite rich;unknown;727;10;education;0
23;male;1;own;little;moderate;1246;24;car;0
49;male;2;own;unknown;unknown;2331;12;radio/TV;0
26;male;3;own;little;unknown;4463;36;radio/TV;0
28;male;2;own;little;unknown;776;12;radio/TV;0
23;female;2;rent;little;little;2406;30;furniture/equipment;0
61;male;2;free;unknown;moderate;1239;18;education;0
37;male;3;own;unknown;rich;3399;12;radio/TV;0
36;female;2;own;little;rich;2247;12;car;0
21;male;2;rent;little;unknown;1766;6;furniture/equipment;0
25;male;0;own;little;little;2473;18;furniture/equipment;0
36;male;2;own;little;unknown;1542;12;business;0
27;male;2;own;little;unknown;3850;18;car;0
22;female;2;rent;little;little;3650;18;furniture/equipment;0
42;male;2;own;little;little;3446;36;furniture/equipment;0
40;female;2;rent;little;moderate;3001;18;furniture/equipment;0
36;male;2;own;unknown;unknown;3079;36;car;0
33;male;2;own;little;unknown;6070;18;radio/TV;0
23;female;2;rent;little;unknown;2146;10;furniture/equipment;0
63;male;3;free;unknown;unknown;13756;60;car;0
60;female;3;free;moderate;moderate;14782;60;vacation/others;0
37;female;2;rent;little;little;7685;48;business;0
34;male;2;own;little;unknown;2320;18;radio/TV;0
36;male;2;free;unknown;unknown;846;7;radio/TV;0
57;male;3;free;little;moderate;14318;36;car;0
52;female;1;own;moderate;unknown;362;6;car;0
39;male;2;own;unknown;little;2212;20;furniture/equipment;0
38;female;3;free;little;moderate;12976;18;car;0
25;female;2;rent;unknown;unknown;1283;22;car;0
26;male;2;own;little;rich;1330;12;car;0
26;male;1;own;moderate;unknown;4272;30;business;0
25;female;2;own;little;unknown;2238;18;radio/TV;0
21;female;2;rent;unknown;unknown;1126;18;radio/TV;0
40;male;3;own;little;moderate;7374;18;furniture/equipment;0
27;male;2;own;quite rich;moderate;2326;15;business;0
27;female;2;own;little;unknown;1449;9;business;0
30;male;3;own;little;unknown;1820;18;car;0
19;female;1;rent;rich;moderate;983;12;furniture/equipment;0
39;male;3;free;little;little;3249;36;car;0
31;female;2;own;little;little;1957;6;radio/TV;0
31;male;3;own;little;unknown;2406;9;furniture/equipment;0
32;male;2;rent;moderate;moderate;11760;39;education;0
55;female;3;free;little;little;2578;12;furniture/equipment;0
46;male;2;own;little;little;2348;36;furniture/equipment;0
46;male;2;rent;little;moderate;1223;12;car;0
43;female;1;own;rich;unknown;1516;24;radio/TV;0
